ID_H1,_FeH,_Age,_vLSR,_Ldeg,_Bdeg,R_gc,_R_G,sig_v,amr_x,amr_y,amr_bin_center,amr_med_age,amr_dAge,flag_young,kin_vfit,kin_resid,kin_sigma,kin_z,flag_kin_lenient,flag_kin_strict,flag_accreted_lenient,flag_accreted_strict
NGC 6121,-1.98,13.1,78.6,350.97,15.97,5.9,5.9,4.0,-1.98,13.1,-1.93,13.1,0.0,False,19.307500928577348,59.29249907142265,125.29403128250387,0.4732268446031099,False,False,False,False
NGC 6101,-1.76,12.5,357.0,317.74,-15.82,11.2,11.2,,-1.76,12.5,-1.73,12.5,0.0,False,81.17873297741293,275.82126702258705,125.29403128250387,2.201391911484477,True,True,False,False
NGC 6144,-1.56,13.8,201.9,351.93,15.7,2.7,2.7,,-1.56,13.8,-1.5299999999999998,12.5,1.3000000000000007,False,17.288815755862117,184.6111842441379,125.29403128250387,1.4734236128765785,False,False,False,False
NGC 6139,-1.58,11.6,11.5,342.37,6.94,3.6,3.6,,-1.58,11.6,-1.5299999999999998,12.5,-0.9000000000000004,False,37.01565639023869,-25.51565639023869,125.29403128250387,-0.2036462242379914,False,False,False,False
Terzan 3,,,-130.6,345.08,9.19,2.5,2.5,,,,,,,False,31.519993740026038,-162.11999374002602,125.29403128250387,-1.2939163348850167,False,False,False,False
NGC 6171,-1.03,13.4,-23.0,3.37,23.01,3.3,3.3,4.1,-1.03,13.4,-1.13,11.05,2.3499999999999996,False,-7.097517959140211,-15.90248204085979,125.29403128250387,-0.1269213056526534,False,False,False,False
1636-283,,,,351.91,12.1,2.1,2.1,,,,,,,False,,,,,False,False,False,False
NGC 6205,-1.33,11.7,-228.0,59.01,40.91,8.4,8.4,7.1,-1.33,11.7,-1.33,11.6,0.09999999999999964,False,-107.72145340740508,-120.27854659259492,125.29403128250387,-0.9599702823943752,False,False,False,False
NGC 6229,,,-138.4,73.64,40.31,29.8,29.8,,,,,,,False,-121.55586022978902,-16.844139770210987,125.29403128250387,-0.13443688895468647,False,False,False,False
NGC 6218,-1.43,13.4,-27.9,15.72,26.31,4.5,4.5,4.5,-1.43,13.4,-1.5299999999999998,12.5,0.9000000000000004,False,-33.31959206140308,5.41959206140308,125.29403128250387,0.04325498992991436,False,False,False,False
FSR 1735,,,,339.19,-1.85,3.7,3.7,,,,,,,False,,,,,False,False,False,False
NGC 6235,,,96.8,358.92,13.52,4.2,4.2,,,,,,,False,2.4341353820715863,94.36586461792841,125.29403128250387,0.7531553071762782,False,False,False,False
NGC 6254,-1.57,12.4,88.5,15.14,23.08,4.6,4.6,6.6,-1.57,12.4,-1.5299999999999998,12.5,-0.09999999999999964,False,-32.107677337563345,120.60767733756335,125.29403128250387,0.9625971493057472,False,False,False,False
NGC 6256,,,-95.6,347.79,3.31,3.0,3.0,6.6,,,,,,False,25.941722643855577,-121.54172264385556,125.29403128250387,-0.970051976137731,False,False,False,False
