ID_H1,Name,RA,DEC,L,B,R_Sun,R_gc,X,Y,Z,KEY,ID_H3,v_r,v_r_e,v_LSR,sig_v,sig_v_e,c,r_c,r_h,mu_V,rho_0,lg_tc,lg_th,#NGC,Name_VDB,FeH,Age,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0,ID,Class,Object,AltName,Mstar,rh,C5,Age_KR,FeH_KR
NGC 6144,,16:27:13.86,-26:01:24.6,351.93,15.7,8.9,2.7,8.5,-1.2,2.4,NGC6144,NGC 6144,193.8,0.6,201.9,,,1.55,0.94,1.63,20.05,2.31,8.78,9.14,,,,,,,,,,,,,,,GC,NGC6144,NONE,1.69,7.17,0.24,13.8,-1.56
NGC 6139,,16:27:40.37,-38:50:55.5,342.37,6.94,10.1,3.6,9.6,-3,1.2,NGC6139,NGC 6139,6.7,6,11.5,,,1.86,0.15,0.85,17.2,4.67,7.66,9.05,,,,,,,,,,,,,,,GC,NGC6139,NONE,3.80,4.2,0.90,11.6,-1.58
Terzan 3,,16:28:40.08,-35:21:12.5,345.08,9.19,8.2,2.5,7.8,-2.1,1.3,TERZAN3,Terzan 3,-136.3,0.7,-130.6,,,0.7,1.18,1.25,22.52,1.82,8.79,8.57,,,,,,,,,,,,,,,,,,,,,,
NGC 6171,M 107,16:32:31.86,-13:03:13.6,3.37,23.01,6.4,3.3,5.9,0.3,2.5,NGC6171,NGC 6171,-34.1,0.3,-23,4.1,0.3,1.53,0.56,1.73,18.94,3.08,8.06,9,,,,,,,,,,,,,,,GC,NGC6171,M107,1.17,5.5,0.21,13.4,-1.03
1636-283,ESO452-SC11,16:39:25.45,-28:23:55.3,351.91,12.1,8.3,2.1,8,-1.1,1.7,1636-283,1636-283,,,,,,1,0.5,0.5,20.75,2.5,8.07,7.87,,,,,,,,,,,,,,,,,,,,,,
NGC 6205,M 13,16:41:41.24,+36:27:35.5,59.01,40.91,7.1,8.4,2.8,4.6,4.7,NGC6205,NGC 6205,-244.2,0.2,-228,7.1,0.4,1.53,0.62,1.69,16.59,3.55,8.51,9.3,,,,,,,,,,,,,,,GC,NGC6205,M13,7.75,5.93,1.31,11.7,-1.33
NGC 6229,,16:46:58.79,+47:31:39.9,73.64,40.31,30.5,29.8,6.5,22.3,19.7,NGC6229,NGC 6229,-154.2,7.6,-138.4,,,1.5,0.12,0.36,16.77,3.54,8.3,9.15,,,,,,,,,,,,,,,,,,,,,,
NGC 6218,M 12,16:47:14.18,-01:56:54.7,15.72,26.31,4.8,4.5,4.2,1.2,2.1,NGC6218,NGC 6218,-41.4,0.2,-27.9,4.5,0.4,1.34,0.79,1.77,18.1,3.23,8.19,8.87,,,,,,,,,,,,,,,GC,NGC6218,M12,0.74,4.2,0.18,13.4,-1.43
FSR 1735,,16:52:10.6,-47:03:29,339.19,-1.85,9.8,3.7,9.1,-3.5,-0.3,FSR1735,FSR 1735,,,,,,0.56,0.39,0.34,,,,8.11,,,,,,,,,,,,,,,,,,,,,,
NGC 6235,,16:53:25.31,-22:10:38.8,358.92,13.52,11.5,4.2,11.2,-0.2,2.7,NGC6235,NGC 6235,87.3,3.4,96.8,,,1.53,0.33,1,19.12,2.97,8.08,8.89,,,,,,,,,,,,,,,,,,,,,,
NGC 6254,M 10,16:57:09.05,-04:06:01.1,15.14,23.08,4.4,4.6,3.9,1.1,1.7,NGC6254,NGC 6254,75.2,0.7,88.5,6.6,0.8,1.38,0.77,1.95,17.7,3.54,8.21,8.9,,,,,,,,,,,,,,,GC,NGC6254,M10,1.53,4.2,0.36,12.4,-1.57
NGC 6256,,16:59:32.62,-37:07:17.0,347.79,3.31,10.3,3,10,-2.2,0.6,NGC6256,NGC 6256,-101.4,1.9,-95.6,6.6,2.6,2.5,0.02,0.86,17.89,5.59,5.82,8.86,,,,,,,,,,,,,,,,,,,,,,
Pal 15,,16:59:51.0,-00:32:20,18.88,24.3,45.1,38.4,38.9,13.3,18.6,PAL15,Pal 15,68.9,1.1,82.9,,,0.6,1.2,1.1,24.87,-0.25,9.99,9.72,,,,,,,,,,,,,,,,,,,,,,
NGC 6266,M 62,17:01:12.80,-30:06:49.4,353.57,7.32,6.8,1.7,6.7,-0.8,0.9,NGC6266,NGC 6266,-70.1,1.4,-62.3,14.3,0.4,1.71,0.22,0.92,15.1,5.16,7.9,8.98,,,,,,,,,,,,,,,,,,,,,,
NGC 6273,M 19,17:02:37.80,-26:16:04.7,356.87,9.38,8.8,1.7,8.7,-0.5,1.4,NGC6273,NGC 6273,135,4.1,143.8,,,1.53,0.43,1.32,16.77,3.98,8.52,9.38,,,,,,,,,,,,,,,,,,,,,,
NGC 6284,,17:04:28.51,-24:45:53.5,358.35,9.94,15.3,7.5,15,-0.4,2.6,NGC6284,NGC 6284,27.5,1.7,36.7,6.3,0.9,2.5,0.07,0.66,16.35,4.55,7.24,9.09,,,,,,,,,,,,,,,,,,,,,,
NGC 6287,,17:05:09.13,-22:42:30.1,0.13,11.02,9.4,2.1,9.2,0,1.8,NGC6287,NGC 6287,-288.7,3.5,-279.1,,,1.38,0.29,0.74,18.32,3.78,8.06,8.75,,,,,,,,,,,,,,,,,,,,,,
NGC 6293,,17:10:10.20,-26:34:55.5,357.62,7.83,9.5,1.9,9.4,-0.4,1.3,NGC6293,NGC 6293,-146.2,1.7,-137.4,7.7,1.3,2.5,0.05,0.89,15.72,5.31,6.38,8.94,,,,,,,,,,,,,,,,,,,,,,
NGC 6304,,17:14:32.25,-29:27:43.3,355.83,5.38,5.9,2.3,5.8,-0.4,0.6,NGC6304,NGC 6304,-107.3,3.6,-99.3,,,1.8,0.21,1.42,17.2,4.49,7.36,8.85,,,,,,,,,,,,,,,GC,NGC6304,NONE,2.17,4.14,0.52,13.6,-0.66
NGC 6316,,17:16:37.30,-28:08:24.4,357.18,5.76,10.4,2.6,10.4,-0.5,1,NGC6316,NGC 6316,71.4,8.9,79.9,,,1.65,0.17,0.65,17.44,4.23,7.71,8.89,,,,,,,,,,,,,,,,,,,,,,
NGC 6341,M 92,17:17:07.39,+43:08:09.4,68.34,34.86,8.3,9.6,2.5,6.3,4.7,NGC6341,NGC 6341,-120,0.1,-103.5,6,0.4,1.68,0.26,1.02,15.47,4.3,7.96,9.02,,,,,,,,,,,,,,,GC,NGC6341,M92,4.89,4.19,1.17,13.2,-2.1
NGC 6325,,17:17:59.21,-23:45:57.6,0.97,8,7.8,1.1,7.7,0.1,1.1,NGC6325,NGC 6325,29.8,1.8,39.3,5.9,1.3,2.5,0.03,0.63,17.56,5.52,5.73,8.45,,,,,,,,,,,,,,,,,,,,,,
NGC 6333,M 9,17:19:11.26,-18:30:57.4,5.54,10.71,7.9,1.7,7.7,0.7,1.5,NGC6333,NGC 6333,229.1,7,239.8,,,1.25,0.45,0.96,17.39,3.78,8.36,8.9,,,,,,,,,,,,,,,,,,,,,,
NGC 6342,,17:21:10.08,-19:35:14.7,4.9,9.72,8.5,1.7,8.4,0.7,1.4,NGC6342,NGC 6342,115.7,1.4,126.3,5.2,2.1,2.5,0.05,0.73,16.97,4.97,6.16,8.51,,,,,,,,,,,,,,,,,,,,,,
NGC 6356,,17:23:34.93,-17:48:46.9,6.72,10.22,15.1,7.5,14.7,1.7,2.7,NGC6356,NGC 6356,27,4.3,38,,,1.59,0.24,0.81,17.02,3.78,8.37,9.3,,,,,,,,,,,,,,,,,,,,,,
NGC 6355,,17:23:58.59,-26:21:12.3,359.59,5.43,9.2,1.4,9.2,-0.1,0.9,NGC6355,NGC 6355,-176.9,7.1,-167.9,,,2.5,0.05,0.88,17.64,5.04,6.27,8.96,,,,,,,,,,,,,,,,,,,,,,
NGC 6352,,17:25:29.11,-48:25:19.8,341.42,-7.17,5.6,3.3,5.3,-1.8,-0.7,NGC6352,NGC 6352,-137,1.1,-134.1,,,1.1,0.83,2.05,18.17,3.17,8.46,8.92,,,,,,,,,,,,,,,GC,NGC6352,NONE,0.37,5.68,0.065,12.7,-0.70
IC 1257,,17:27:08.5,-07:05:35,16.54,15.15,25,17.9,23.2,6.9,6.5,IC1257,IC 1257,-140.2,2.1,-127,,,1.55,0.25,1.4,,,,9.6,,,,,,,,,,,,,,,,,,,,,,
Terzan 2,HP 3,17:27:33.10,-30:48:08.4,356.32,2.3,7.5,0.8,7.5,-0.5,0.3,TERZAN2,Terzan 2,109,15,116.9,,,2.5,0.03,1.52,22.16,4.86,5.46,8.82,,,,,,,,,,,,,,,,,,,,,,
NGC 6366,,17:27:44.24,-05:04:47.5,18.41,16.04,3.5,5,3.2,1.1,1,NGC6366,NGC 6366,-122.2,0.5,-108.6,1.3,0.5,0.74,2.17,2.92,21.25,2.39,8.74,8.73,,,,,,,,,,,,,,,GC,NGC6366,NONE,0.30,5.05,0.058,13.3,-0.73
Terzan 4,HP 4,17:30:39.00,-31:35:43.9,356.02,1.31,7.2,1,7.2,-0.5,0.2,TERZAN4,Terzan 4,-50,2.9,-42.3,,,0.9,0.9,1.85,,,,8.7,,,,,,,,,,,,,,,,,,,,,,
HP 1,BH 229,17:31:05.2,-29:58:54,357.44,2.12,8.2,0.5,8.2,-0.4,0.3,HP1,HP 1,45.8,0.7,54,,,2.5,0.03,3.1,21.29,4.33,5.03,9.44,,,,,,,,,,,,,,,,,,,,,,
NGC 6362,,17:31:54.99,-67:02:54.0,325.55,-17.57,7.6,5.1,6,-4.1,-2.3,NGC6362,NGC 6362,-13.1,0.6,-15.6,2.8,0.4,1.09,1.13,2.05,19.31,2.29,8.8,9.2,,,,,,,,,,,,,,,GC,NGC6362,NONE,0.81,7.70,0.11,13.6,-0.99
Liller 1,,17:33:24.50,-33:23:20.4,354.84,-0.16,8.2,0.8,8.2,-0.7,0,LILLER1,Liller 1,52,15,59.2,,,2.3,0.06,,24,5.28,6.62,0,,,,,,,,,,,,,,,,,,,,,,
NGC 6380,Ton 1,17:34:28.0,-39:04:09,350.18,-3.42,10.9,3.3,10.7,-1.9,-0.6,NGC6380,NGC 6380,-3.6,2.5,2.1,,,1.55,0.34,0.74,19.89,3.73,8.4,8.86,,,,,,,,,,,,,,,,,,,,,,
